stem,section,shape,side,key,label_value,label_page,stored_value,stored_page,run_value,run_page,run_evidence,run_writer,run_vs_label,run_vs_stored
academedia_2025,debt_maturity,total-only,mechanism,total_debt,12103,87,12103,87,,,,model,missed,lost
acast_2025,debt_maturity,bucket-column,mechanism,total_debt,135382,67,,,,,,_fill_bucket_columns,missed,absent
acast_2025,debt_maturity,bucket-column,mechanism,due_within_1_year,32052,67,,,,,,_fill_bucket_columns,missed,absent
alligo_2025,debt_maturity,total-only,mechanism,total_debt,3629,143,3629,143,,,,model,missed,lost
alligo_2025,debt_maturity,total-only,mechanism,due_within_1_year,473,143,473,143,,,,model,missed,lost
ambea_2025,debt_maturity,total-only,mechanism,total_debt,12643,119,12643,119,12643,119,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,statement-spread fill,ok,same
ambea_2025,debt_maturity,total-only,mechanism,due_within_1_year,2308,119,2308,119,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,total_debt,21.6,113,21.6,113,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,due_within_1_year,21.6,113,21.6,113,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,113,,,,,,model,null-ok,absent
apotea_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,113,,,,,,model,null-ok,absent
arctic_paper_2025,debt_maturity,bucket-rows,mechanism,total_debt,251209,71,,,,,,model,missed,absent
arctic_paper_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,219487,66,219487,66,,,,model,missed,lost
arjo_2025,debt_maturity,total-only,mechanism,total_debt,5387,109,5387,109,,,,model,missed,lost
arjo_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,109,,,,,,model,null-ok,absent
attendo_2025,debt_maturity,total-only,mechanism,total_debt,2978,101,2978,103,,,,model,missed,lost
avarda_bank_2025,debt_maturity,total-only,mechanism,total_debt,null,27,,,,,,model,null-ok,absent
bergman_beving_2025,debt_maturity,bucket-rows,mechanism,total_debt,2390,120,2038,119,,,,model,missed,lost
bergman_beving_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,424,120,354,119,,,,model,missed,lost
better_collective_2025,debt_maturity,total-only,mechanism,total_debt,259691,161,259946,161,,,,model,missed,lost
bhg_2025,debt_maturity,total-only,mechanism,total_debt,1297.4,128,1297.4,128,,,,model,missed,lost
bico_2025,debt_maturity,total-only,mechanism,total_debt,1286.8,111,1286.8,111,,,,model,missed,lost
bico_2025,debt_maturity,total-only,mechanism,due_within_1_year,1068.5,111,1068.5,111,,,,model,missed,lost
biogaia_2025,debt_maturity,total-only,mechanism,total_debt,0,153,0,153,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,mechanism,total_debt,8527,66,8527,66,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_within_1_year,7370,66,7370,66,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,1157,66,,,,,,model,missed,absent
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,66,,,,,,model,null-ok,absent
bonava_2025,debt_maturity,total-only,mechanism,total_debt,3639,152,3639,152,3639,152,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement,statement-spread fill,ok,same
bonava_2025,debt_maturity,total-only,mechanism,due_within_1_year,804,152,804,152,,,,model,missed,lost
boozt_2025,debt_maturity,bucket-rows,mechanism,total_debt,441,108,441,122,441,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,104,108,104,121,104,121,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,273,121,273,121,273,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,63,121,63,121,63,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
bts_2025,debt_maturity,bucket-rows,mechanism,total_debt,579797,92,579797,92,,,,warning (unmapped),missed,lost
bts_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,77141,92,77141,92,,,,warning (unmapped),missed,lost
bts_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,502656,92,502656,92,,,,warning (unmapped),missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,total_debt,2873,54,2873,54,,,,model,missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_within_1_year,962,54,962,54,922,53,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,statement-spread fill,wrong,different
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,1911,54,,,,,,model,missed,absent
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_after_5_years,0,54,,,,,,model,missed,absent
byggmax_2025,debt_maturity,total-only,mechanism,total_debt,2021,99,2021,99,,,,model,missed,lost
byggmax_2025,debt_maturity,total-only,mechanism,due_within_1_year,779,99,779,99,,,,model,missed,lost
catella_2025,debt_maturity,total-only,mechanism,total_debt,1474,108,1474,108,,,,model,missed,lost
catella_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,108,,,,,,model,null-ok,absent
cavotec_2025,debt_maturity,total-only,mechanism,total_debt,23702,71,23702,71,,,,warning (unmapped),missed,lost
cavotec_2025,debt_maturity,total-only,mechanism,due_within_1_year,3324,59,,,,,,warning (unmapped),missed,absent
