stem,section,shape,side,key,label_value,label_page,stored_value,stored_page,run_value,run_page,run_evidence,run_writer,run_vs_label,run_vs_stored
academedia_2025,debt_maturity,total-only,mechanism,total_debt,12103,87,12103,87,,,,model,missed,lost
academedia_2025,debt_maturity,total-only,total,total_debt,12103,87,12103,87,12103,87,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
acast_2025,debt_maturity,bucket-column,mechanism,total_debt,135382,67,,,,,,_fill_bucket_columns,missed,absent
acast_2025,debt_maturity,bucket-column,mechanism,due_within_1_year,32052,67,,,,,,_fill_bucket_columns,missed,absent
acast_2025,debt_maturity,bucket-column,total,total_debt,135382,67,,,,,,_fill_bucket_columns,missed,absent
acast_2025,debt_maturity,bucket-column,total,due_within_1_year,32052,67,,,,,,_fill_bucket_columns,missed,absent
alligo_2025,debt_maturity,total-only,mechanism,total_debt,3629,143,3629,143,,,,model,missed,lost
alligo_2025,debt_maturity,total-only,mechanism,due_within_1_year,473,143,473,143,,,,model,missed,lost
alligo_2025,debt_maturity,total-only,total,total_debt,3629,143,3629,143,3629,143,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
alligo_2025,debt_maturity,total-only,total,due_within_1_year,473,143,473,143,,,,model,missed,lost
ambea_2025,debt_maturity,total-only,mechanism,total_debt,12643,119,12643,119,12643,119,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,statement-spread fill,ok,same
ambea_2025,debt_maturity,total-only,mechanism,due_within_1_year,2308,119,2308,119,,,,model,missed,lost
ambea_2025,debt_maturity,total-only,total,total_debt,12643,119,12643,119,12643,119,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
ambea_2025,debt_maturity,total-only,total,due_within_1_year,2308,119,2308,119,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,total_debt,21.6,113,21.6,113,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,due_within_1_year,21.6,113,21.6,113,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,113,,,,,,model,null-ok,absent
apotea_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,113,,,,,,model,null-ok,absent
apotea_2025,debt_maturity,total-only,total,total_debt,21.6,113,21.6,113,21.6,113,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
apotea_2025,debt_maturity,total-only,total,due_within_1_year,21.6,113,21.6,113,,,,model,missed,lost
apotea_2025,debt_maturity,total-only,total,due_1_to_5_years,null,113,,,,,,model,null-ok,absent
apotea_2025,debt_maturity,total-only,total,due_after_5_years,null,113,,,,,,model,null-ok,absent
arctic_paper_2025,debt_maturity,bucket-rows,mechanism,total_debt,251209,71,,,,,,model,missed,absent
arctic_paper_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,219487,66,219487,66,,,,model,missed,lost
arctic_paper_2025,debt_maturity,bucket-rows,total,total_debt,251209,71,,,,,,model,missed,absent
arctic_paper_2025,debt_maturity,bucket-rows,total,due_within_1_year,219487,66,219487,66,,,,model,missed,lost
arjo_2025,debt_maturity,total-only,mechanism,total_debt,5387,109,5387,109,,,,model,missed,lost
arjo_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,total,total_debt,5387,109,5387,109,5387,109,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
arjo_2025,debt_maturity,total-only,total,due_within_1_year,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,total,due_1_to_5_years,null,109,,,,,,model,null-ok,absent
arjo_2025,debt_maturity,total-only,total,due_after_5_years,null,109,,,,,,model,null-ok,absent
attendo_2025,debt_maturity,total-only,mechanism,total_debt,2978,101,2978,103,,,,model,missed,lost
attendo_2025,debt_maturity,total-only,total,total_debt,2978,101,2978,103,2978,103,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
