replay_check: baseline origin/acrylic, sections ['debt_maturity', 'income_statement'], worktree extract.py; stored fields fed back as the model answer, zero model calls
  kb: data/kb
  kb/4c_2025                                   income_statement same
  kb/aak_2025                                  income_statement same
  kb/abb_2025                                  income_statement same
  kb/academedia_2025                           debt_maturity    same
  kb/acast_2025                                debt_maturity    same
  kb/acroud_2025                               income_statement same
  kb/addnode_2025                              income_statement same
  kb/addtech_2025                              income_statement same
  kb/afry_2025                                 income_statement same
  kb/alfa_laval_2025                           income_statement same
  kb/alligo_2025                               debt_maturity    same
  kb/alvotech_2025                             income_statement same
  kb/ambea_2025                                debt_maturity    same
  kb/apotea_2025                               debt_maturity    same
  kb/aq_2025                                   income_statement same
  kb/arctic_paper_2025                         debt_maturity    same
  kb/arion_banki_2025                          income_statement same
  kb/arjo_2025                                 debt_maturity    same
  kb/asker_healthcare_2025                     income_statement same
  kb/asmodee_2025                              income_statement same
  kb/atlas_copco_2025                          income_statement same
  kb/atrium_ljungberg_2025                     income_statement same
  kb/attendo_2025                              debt_maturity    same
  kb/avanza_bank_holding_2025                  income_statement same
  kb/avarda_bank_2025                          debt_maturity    same
  kb/axfood_2025                               income_statement same
  kb/beijer_alma_2025                          income_statement same
  kb/beijer_ref_2025                           income_statement same
  kb/bergman_beving_2025                       debt_maturity    same
  kb/betsson_2025                              income_statement same
  kb/better_collective_2025                    debt_maturity    same
  kb/bhg_2025                                  debt_maturity    same
  kb/bico_2025                                 debt_maturity    same
  kb/bilia_2025                                income_statement same
  kb/billerud_2025                             income_statement same
  kb/bioarctic_2025                            income_statement same
  kb/biogaia_2025                              debt_maturity    same
  kb/bioinvent_international_2025              debt_maturity    same
  kb/boliden_2025                              income_statement same
  kb/bonava_2025                               debt_maturity    same
  kb/bonesupport_holding_2025                  income_statement same
  kb/boozt_2025                                debt_maturity    same
  kb/bravida_holding_2025                      income_statement same
  kb/bts_2025                                  debt_maturity    same
  kb/bufab_2025                                income_statement same
  kb/bure_equity_2025                          income_statement same
  kb/byggmastare_a_j_ahlstrom_h_2025           debt_maturity    same
  kb/byggmax_2025                              debt_maturity    same
  kb/camurus_2025                              income_statement same
  kb/castellum_2025                            income_statement same
  kb/catella_2025                              debt_maturity    same
  kb/catena_2025                               income_statement same
  kb/cavotec_2025                              debt_maturity    same
  kb/cellavision_2025                          debt_maturity    same
  kb/clas_ohlson_2025                          income_statement same
  kb/cloetta_2025                              debt_maturity    same
  kb/coor_service_management_hold_2025         debt_maturity    same
  kb/corem_property_2025                       income_statement same
  kb/creades_2025                              debt_maturity    same
  kb/ctt_systems_2025                          debt_maturity    same
  kb/dometic_2025                              income_statement same
  kb/duni_2025                                 debt_maturity    same
  kb/dustin_2025                               debt_maturity    same
  kb/dynavox_2025                              debt_maturity    same
  kb/egetis_therapeutics_2025                  debt_maturity    same
  kb/elanders_2025                             debt_maturity    same
  kb/electrolux_professional_2025              income_statement same
  kb/elekta_2025                               income_statement same
  kb/enea_2025                                 debt_maturity    same
  kb/engcon_2025                               income_statement same
  kb/enity_holding_2025                        debt_maturity    same
  kb/ependion_2025                             debt_maturity    same
  kb/ericsson_2025                             debt_maturity    same
